t,a
842,-3.1230929487179431
843,7.2957852564102534
844,2.1575320512820388
845,-50.593862179487196
846,-76.414054487179527
847,-101.75325320512816
848,-93.281057692307655
849,-34.135304487179539
850,-27.642916666666654
851,-40.268653846153846
852,-49.729743589743578
853,-24.532548076923078
854,0.70121794871794052
855,7.5146794871794684
856,0.45822115384613926
857,-3.0568269230769323
858,-3.5003205128205122
859,-14.080336538461536
860,-25.810528846153861
861,-24.201458333333324
862,-10.082564102564081
863,23.614967948717947
864,37.554038461538482
865,12.065624999999997
866,4.8668910256410305
867,1.9813782051282147
868,-5.2828365384615248
869,7.1088461538461916
870,10.650096153846178
871,34.944102564102572
872,53.128044871794835
873,65.251073717948714
874,68.719711538461567
875,63.694423076923066
876,52.528349358974374
877,25.792035256410269
878,13.560432692307701
879,28.923445512820518
880,53.262788461538449
881,86.324887820512743
882,83.323846153846119
883,52.15290064102561
884,33.115689102564062
885,-16.249551282051264
886,-35.069551282051364
887,-64.257387820512832
888,-75.1055288461538
889,-56.830160256410238
890,-41.6488621794872
891,-42.261137820512857
892,-38.787483974358963
893,-26.656891025641031
894,-15.643205128205125
895,20.066121794871776
896,21.244407051282039
897,-44.661009615384579
898,-56.362339743589786
899,-61.489663461538576
900,-60.306025641025663
901,-62.585528846153892
902,-51.051522435897411
903,-25.92775641025645
904,-21.092580128205125
905,-7.8549358974358769
906,1.8320352564102453
907,33.361554487179468
908,43.007211538461547
909,23.212451923076923
910,14.099038461538463
911,5.3180288461538465
912,-1.133637820512837
913,-31.505865384615429
914,-37.483685897435883
915,-18.417131410256385
916,-0.70426282051281985
917,20.590144230769241
918,33.413108974358991
919,69.938381410256454
920,89.922916666666666
921,92.0759294871795
922,71.784679487179446
923,56.247195512820532
924,47.0922435897436
925,46.252868589743535
926,49.767019230769208
927,23.365160256410249
928,8.5132211538461462
929,0.930913461538462
930,-5.3410576923077073
931,-35.1348076923077
932,-40.45520833333341
933,-11.61943910256411
934,10.203205128205134
935,52.4296955128205
936,61.61400641025643
937,52.550256410256459
938,43.269471153846119
939,14.858557692307651
940,2.7599519230769172
941,-13.468141025641042
942,-24.993301282051277
943,-14.713060897435902
944,-0.80461538461538118
945,19.936730769230774
946,16.277099358974354
947,-21.099663461538476
948,-31.814775641025637
949,-28.286826923076923
950,-22.241714743589736
951,-19.044198717948703
952,-18.072852564102572
953,6.2081410256410221
954,23.074983974358975
955,31.127307692307678
956,31.924935897435869
957,15.214823717948725
958,0.33775641025642889
959,-15.504278846153811
960,-27.256794871794916
961,-67.3148557692307
962,-73.893509615384687
963,-82.469455128205169
964,-83.595544871794942
965,-63.36932692307704
966,-32.649519230769243
967,22.069086538461526
968,41.73724358974362
969,73.097804487179445
970,69.691458333333387
971,30.034086538461541
972,12.887211538461511
973,-0.544711538461529
974,3.5391346153846168
975,14.380464743589748
976,18.948733974358998
977,39.241682692307684
978,48.583285256410271
979,73.018830128205167
980,58.42493589743588
981,17.99785256410258
982,6.1780929487179419
983,-3.4771153846153577
984,5.2790064102563932
985,31.017163461538452
986,40.93652243589743
987,50.145608974359021
988,53.573685897435951
989,65.188974358974363
990,67.203605769230819
991,58.701714743589712
992,61.37421474358986
993,66.02858974358972
994,80.957323717948654
995,102.73911858974357
996,96.15884615384617
997,65.131394230769232
998,44.743990384615358
999,27.493173076923053
1000,32.48692307692307
1001,32.652131410256416
1002,33.149214743589738
1003,39.397179487179478
1004,35.997724358974352
1005,16.358189102564108
1006,4.0909935897435945
1007,-20.417147435897409
1008,-33.560785256410206
1009,-40.326955128205171
1010,-21.927403846153879
1011,0.40165064102564146
1012,14.697580128205114
1013,27.566714743589685
1014,24.786858974359006
1015,32.552500000000052
1016,37.822307692307618
1017,51.045464743589747
1018,56.260288461538437
1019,43.425144230769241
1020,31.639935897435933
1021,-2.0878044871794614
1022,-26.249935897435844
1023,-73.209358974358935
1024,-92.589887820512786
1025,-76.743862179487209
1026,-58.7461057692308
1027,-14.813397435897439
1028,8.2342628205128143
1029,38.01118589743588
1030,48.709358974359013
1031,64.29834935897432
1032,71.208205128205165
1033,91.037243589743639
1034,88.065576923076932
1035,55.842868589743638
1036,29.276410256410287
